Anim,,,,,base, ,,,Blend ,No ,No,,Flex,Swim,Horse,Horse Sock
2070,CentaurW attaCkL,centaurW_attackL.kfa,35,15,15,clamp,,2,0,0,0,0,0,2226,,
2071,CentaurW flinCh,centaurW_flinch.kfa,15,15,15,clamp,,2,0,0,0,0,0,2222,,
2072,CentaurW death,centaurW_death.kfa,20,15,15,clamp,,2,0,0,0,0,0,,,
2073,CentaurW idle,centaurW_idle.kfa,16,15,15,loop,,2,0,0,0,0,0,2222,,
2074,CentaurW BowA,centaurW_BowA.kfa,37,15,15,clamp,,2,0,0,0,0,0,2226,,
2075,CentaurW BowB,centaurW_BowB.kfa,10,15,15,loop,,2,0,0,0,0,0,2226,,
2076,CentaurW BowC,centaurW_BowC.kfa,13,15,15,clamp,,2,0,0,0,0,0,2226,,
2077,Phoenix attack,Phoenix_attack.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2078,Phoenix cidle,Phoenix_cidle.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2079,Phoenix CS,Phoenix_CS.kfa,50,15,15,clamp,,2,0,0,0,0,0,,,
2080,Phoenix death,Phoenix_death.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2081,Phoenix flinch,Phoenix_flinch.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2082,Phoenix idle,Phoenix_idle.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2083,Cyclops idle,Cyclops_idle.kfa,60,15,15,loop,,2,0,0,0,0,0,,,
2084,Cyclops attack,Cyclops_attack.kfa,18,15,15,clamp,,2,0,0,0,0,0,,,
2085,Cyclops attackL,Cyclops_attackL.kfa,17,15,15,clamp,,2,0,0,0,0,0,,,
2086,Cyclops BOWA,Cyclops_BOWA.kfa,37,15,15,clamp,,2,0,0,0,0,0,,,
2087,Cyclops BOWB,Cyclops_BOWB.kfa,7,15,15,loop,,2,0,0,0,0,0,,,
2088,Cyclops BOWC,Cyclops_BOWC.kfa,13,15,15,clamp,,2,0,0,0,0,0,,,
2089,Cyclops cidle,Cyclops_cidle.kfa,20,15,15,loop,,2,0,0,0,0,0,,,
2090,Cyclops death,Cyclops_death.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2091,Cyclops flinch,Cyclops_flinch.kfa,12,15,15,clamp,,2,0,0,0,0,0,,,
2092,Cyclops run,Cyclops_run.kfa,15,15,15,loop,,2,0,0,0,0,0,,,
2093,Cyclops walk,Cyclops_walk.kfa,20,15,15,loop,,2,0,0,0,0,0,,,
2094,Lurikeen Swim,SW_L.kfa,28,15,15,loop,,0,0,0,0,0,0,,,
2095,iaculi idle,iaculi_idle.kfa,98,15,15,loop,,2,0,0,0,0,0,,,
2096,iaculi walk,iaculi_walk.kfa,49,15,15,loop,,2,0,0,0,0,0,,,
2097,iaculi run,iaculi_run.kfa,35,15,15,loop,,2,0,0,0,0,0,,,
2098,iaculi cidle,iaculi_cidle.kfa,49,15,15,loop,,2,0,0,0,0,0,,,
2099,iaculi attack,iaculi_attack.kfa,33,15,15,clamp,,2,0,0,0,0,0,,,
2100,iaculi flinch,iaculi_flinch.kfa,49,15,15,clamp,,2,0,0,0,0,0,,,
2101,iaculi death,iaculi_death.kfa,22,15,15,clamp,,2,0,0,0,0,0,,,
2102,Harpy Rider,Harpy_rider.kfa,16,15,15,loop,,2,0,0,0,0,0,,,
2103,8 Man Boat Run,PSboat_8man_run.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2104,8 Man Boat Idle,PSboat_8man_idle.kfa,100,15,15,loop,,2,0,0,0,0,0,,,
2105,Manticore walk,Manticore_walk.kfa,28,15,15,loop,,2,0,0,1,0,0,,,
2106,Manticore idle,Manticore_idle.kfa,35,15,15,loop,,2,0,0,1,0,0,,,
2107,Manticore flinch,Manticore_flinch.kfa,15,15,15,loop,,2,0,0,1,0,0,,,
2108,Manticore death,Manticore_death.kfa,24,15,15,clamp,,2,0,0,1,0,0,,,
2109,Manticore cidle,Manticore_cidle.kfa,25,15,15,loop,,2,0,0,1,0,0,,,
2110,Manticore attackCS,Manticore_attackCS.kfa,15,15,15,clamp,,2,0,0,1,0,0,,,
2111,Manticore attackCL,Manticore_attackCL.kfa,15,15,15,clamp,,2,0,0,1,0,0,,,
2112,Sobekite EMvictory,Sobekite_EMvictory.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2113,Centaur emtaunt,Centaur_emtaunt.kfa,35,15,15,clamp,,2,0,0,0,0,0,,,
2114,Gorgon emtaunt,Gorgon_emtaunt.kfa,15,15,15,clamp,,2,0,0,0,0,0,,,
2115,Gorgon empoint,Gorgon_empoint.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2116,PSAtlantean run,PSAtlantean_run.kfa,180,15,15,loop,,1,0,0,0,0,0,,,
2117,PSAtlantean idle,PSAtlantean_idle.kfa,180,15,15,loop,,1,0,0,0,0,0,,,
2118,PSLongship run,PSLongship_run.kfa,100,15,15,loop,,2,0,0,0,0,0,,,
2119,PSLongship idle,PSLongship_idle.kfa,100,15,15,loop,,2,0,0,0,0,0,,,
2120,PSCogship run,PSCogship_run.kfa,85,15,15,loop,,2,0,0,0,0,0,,,
2121,PSCogship idle,PSCogship_idle.kfa,100,15,15,loop,,2,0,0,0,0,0,,,
2122,PScaravel idle,PScaravel_idle.kfa,100,15,15,loop,,2,0,0,0,0,0,,,
2123,PScaravel run,PScaravel_run.kfa,75,15,15,loop,,2,0,0,0,0,0,,,
2124,Croc idle,croc_idle.kfa,16,7,15,loop,,0,0,0,0,0,0,2144,3249,
2125,Croc attackh,Croc_attackh.kfa,20,15,15,clamp,,0,0,0,0,0,0,2140,3364,
2126,Croc Cidle,croc_Cidle.kfa,16,15,15,loop,,0,0,0,0,0,0,2141,3249,
2127,Croc death,croc_death.kfa,14,15,15,clamp,,0,0,0,0,0,0,2142,3249,
2128,Croc flinch,croc_flinch.kfa,14,15,15,clamp,,0,0,0,0,0,0,2143,3249,
2129,Croc run,croc_run.kfa,14,15,15,loop,,0,0,0,0,0,0,2145,3248,
2130,Croc swim,croc_swim.kfa,35,15,15,loop,,0,0,0,0,0,0,,,
2131,Croc walk,croc_walk.kfa,20,15,15,loop,,0,0,0,0,0,0,2146,3247,
2132,Ballista High attack,Ballista_High_attack.kfa,90,15,15,clamp,,2,0,0,0,0,0,,,
2133,Ballista Low attack,Ballista_Low_attack.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2134,Catapult G attack,Catapult_G_attack.kfa,120,15,15,clamp,,2,0,0,0,0,0,,,
2135,Catapult W attack,Catapult_W_attack.kfa,120,15,15,clamp,,2,0,0,0,0,0,,,
2136,Ram High attack,Ram_High_attack.kfa,80,15,15,clamp,,2,0,0,0,0,0,,,
2137,Ram Low attack,Ram_Low_attack.kfa,80,15,15,clamp,,2,0,0,0,0,0,,,
2138,Ram Mid attack,Ram_Mid_attack.kfa,80,15,15,clamp,,2,0,0,0,0,0,,,
2139,Trebuchet attack,trebuchet_attack.kfa,80,15,15,clamp,,2,0,0,0,0,0,,,
2140,crocUW attack,crocUW_attack.kfa,35,15,15,clamp,,1,0,0,0,0,0,,,
2141,crocUW cidle,crocUW_cidle.kfa,35,15,15,loop,,1,0,0,0,0,0,,,
2142,crocUW death,crocUW_death.kfa,50,15,15,clamp,,1,0,0,0,0,0,,,
2143,crocUW flinch,crocUW_flinch.kfa,35,15,15,clamp,,1,0,0,0,0,0,,,
2144,crocUW idle,crocUW_idle.kfa,35,15,15,loop,,1,0,0,0,0,0,,,
2145,crocUW run,crocUW_run.kfa,17,15,15,loop,,1,0,0,0,0,0,,,
2146,crocUW walk,crocUW_walk.kfa,35,15,15,loop,,1,0,0,0,0,0,,,
2147,sobekiteU AttH,sobekiteU_AttH.kfa,15,15,15,clamp,,2,0,0,0,0,0,,,
2148,sobekiteU AttL,sobekiteU_AttL.kfa,14,15,15,clamp,,2,0,0,0,0,0,,,
2149,sobekiteU cidle,sobekiteU_cidle.kfa,30,15,15,loop,,2,0,0,0,0,0,,,
2150,sobekiteU death,sobekiteU_death.kfa,45,15,15,clamp,,2,0,0,0,0,0,,,
2151,sobekiteU Flinch,sobekiteU_Flinch.kfa,17,15,15,clamp,,2,0,0,0,0,0,,,
2152,sobekiteU idle,sobekiteU_idle.kfa,36,15,15,loop,,2,0,0,0,0,0,,,
2153,sobekiteU run,sobekiteU_run.kfa,36,15,15,loop,,2,0,0,0,0,0,,,
2154,sobekiteU walk,sobekiteU_walk.kfa,27,15,15,loop,,2,0,0,0,0,0,,,
2155,centaurW EMBeckon,centaurW_EMBeckon.kfa,18,15,15,clamp,,2,0,0,0,0,0,,,
2156,centaur EMbeckon,centaur_EMbeckon.kfa,16,15,15,clamp,,2,0,0,0,0,0,,,
2157,Minotaur EMvictory,Minotaur_EMvictory.kfa,23,15,15,clamp,,2,0,0,0,0,0,,,
2158,Minotaur EMtaunt,Minotaur_EMtaunt.kfa,20,15,15,clamp,,2,0,0,0,0,0,,,
2159,Minotaur EMpoint,Minotaur_EMpoint.kfa,36,15,15,clamp,,2,0,0,0,0,0,,,
2160,Minotaur EMbeckon,Minotaur_EMbeckon.kfa,36,15,15,clamp,,2,0,0,0,0,0,,,
2161,Medusa embeckon,Medusa_embeckon.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2162,Gorgon embeckon,Gorgon_embeckon.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2163,Djinn Embeckon,Djinn_Embeckon.kfa,18,15,15,clamp,,2,0,0,0,0,0,,,
2164,Cyclops EMtaunt,Cyclops_EMtaunt.kfa,20,15,15,clamp,,2,0,0,0,0,0,,,
2165,iaculi idle,iaculi_idle.kfa,98,7,15,loop,,2,0,0,0,0,0,,,
2166,iaculi idle,iaculi_idle.kfa,98,20,15,loop,,2,0,0,0,0,0,,,
2167,iaculi idle,iaculi_idle.kfa,98,10,15,loop,,2,0,0,0,0,0,,,
2168,SphinxGyno dormant,SphinxGyno_dormant.kfa,1,15,15,loop,,2,0,0,0,0,0,,,
2169,Sphinx dormant,Sphinx_dormant.kfa,1,15,15,loop,,2,0,0,0,0,0,,,
2170,Mau sit,Mau_sit.kfa,30,15,15,loop,,2,0,0,0,0,0,,,
2171,KBack,KBack.kfa,24,15,15,clamp,,0,0,0,0,0,0,,,
2172,Scorp2 walk,Scorp2_walk.kfa,15,15,15,loop,,2,0,0,0,0,0,,,
2173,Scorp2 run,Scorp2_run.kfa,9,15,15,loop,,2,0,0,0,0,0,,,
2174,Scorp2 idle,Scorp2_idle.kfa,30,15,15,loop,,2,0,0,0,0,0,,,
2175,Scorp2 attack idle,Scorp2_attack_idle.kfa,20,15,15,loop,,2,0,0,0,0,0,,,
2176,Scorp2 attack1,Scorp2_attack1.kfa,20,15,15,clamp,,2,0,0,0,0,0,,,
2177,Scorp2 attack2,Scorp2_attack2.kfa,15,15,15,clamp,,2,0,0,0,0,0,,,
2178,Scorp2 flinch,Scorp2_flinch.kfa,8,15,15,clamp,,2,0,0,0,0,0,,,
2179,Scorp2 death,Scorp2_death.kfa,15,15,15,clamp,,2,0,0,0,0,0,,,
2180,mud attack,mud_attack.kfa,14,15,15,clamp,,1,0,0,0,0,0,,,
2181,mud cidle,mud_cidle.kfa,30,15,15,loop,,1,0,0,0,0,0,,,
2182,mud death,mud_death.kfa,34,15,15,clamp,,1,0,0,0,0,0,,,
2183,mud flinch,mud_flinch.kfa,12,15,15,clamp,,1,0,0,0,0,0,,,
2184,mud swim,mud_swim.kfa,28,15,15,loop,,1,0,0,0,0,0,,,
2185,Cabalist attack,Cabalist_attack.kfa,14,15,15,clamp,,2,0,0,0,0,0,,,
2186,Cabalist cidle,Cabalist_cidle.kfa,30,15,15,loop,,2,0,0,0,0,0,,,
2187,Cabalist death,Cabalist_death.kfa,34,15,15,clamp,,2,0,0,0,0,0,,,
2188,Cabalist flinch,Cabalist_flinch.kfa,12,15,15,loop,,2,0,0,0,0,0,,,
2189,Cabalist swim,Cabalist_swim.kfa,28,15,15,loop,,2,0,0,0,0,0,,,
2190,Draco Spellcast,Draco_Spellcast.kfa,54,15,15,clamp,,2,0,0,0,0,0,,,
2191,Draco attack,Draco_attack.kfa,54,15,15,clamp,,2,0,0,0,0,0,,,
2192,Draco cidle,Draco_cidle.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2193,draco death,draco_death.kfa,36,15,15,clamp,,2,0,0,0,0,0,,,
2194,Draco flinch,Draco_flinch.kfa,58,15,15,clamp,,2,0,0,0,0,0,,,
2195,Draco idle,Draco_idle.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2196,Underwater Sit,SWIM_S_HM_A.kfa,36,15,15,clamp,,1,0,0,0,0,0,,,
2197,Underwater Sit Idle,SWIM_S_HM_B.kfa,70,15,15,loop,,1,0,0,0,0,0,,,
2198,mushroom2_attack,mushroom2_attack.kfa,25,15,15,clamp,,2,0,0,0,0,0,,,
2199,mushroom2_Cidle,mushroom2_Cidle.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2200,mushroom2_death,mushroom2_death.kfa,50,15,15,clamp,,2,0,0,0,0,0,,,
2201,mushroom2_flinch,mushroom2_flinch.kfa,30,15,15,clamp,,2,0,0,0,0,0,,,
2202,mushroom2_idle ,mushroom2_idle.kfa ,50,15,15,loop,,2,0,0,0,0,0,,,
2203,mushroom2_swim,mushroom2_swim.kfa,50,15,15,loop,,2,0,0,0,0,0,,,
2204,Fellwood attack,Fellwood_attack.kfa,40,15,15,clamp,,2,0,0,0,0,0,,,
2205,Fellwood cidle,Fellwood_cidle.kfa,40,15,15,loop,,2,0,0,0,0,0,,,
2206,Fellwood death,Fellwood_death.kfa,68,15,15,clamp,,2,0,0,0,0,0,,,
2207,Fellwood flinch,Fellwood_flinch.kfa,20,15,15,loop,,2,0,0,0,0,0,,,
2208,Fellwood idle,Fellwood_idle.kfa,40,15,15,loop,,2,0,0,0,0,0,,,
2209,Fellwood swim,Fellwood_swim.kfa,36,15,15,loop,,2,0,0,0,0,0,,,
2210,Talos Attack Style,Talos_attackstyle.kfa,45,15,15,clamp,2000,2,0,0,0,0,0,,,
2211,SWIM_EM_CHEER,SWIM_EM_CHEER.kfa,20,15,15,clamp,,1,0,0,0,0,0,,,
2212,SWIM_EM_clap,SWIM_EM_clap.kfa,17,15,15,clamp,,1,0,0,0,0,0,,,
2213,SWIM_EM_DBflex,SWIM_EM_DBflex.kfa,35,15,15,clamp,,1,0,0,0,0,0,,,
2214,SWIM_EM_flex,SWIM_EM_flex.kfa,18,15,15,clamp,,1,0,0,0,0,0,,,
2215,SWIM_EM_kiss,SWIM_EM_kiss.kfa,30,15,15,clamp,,1,0,0,0,0,0,,,
2216,SWIM_EM_Letsgo,SWIM_EM_Letsgo.kfa,17,15,15,clamp,,1,0,0,0,0,0,,,
2217,SWIM_EM_point,SWIM_EM_point.kfa,16,15,15,clamp,,1,0,0,0,0,0,,,
2218,SWIM_EM_wave,SWIM_EM_wave.kfa,19,15,15,clamp,,1,0,0,0,0,0,,,
2219,Draco style1,Draco_style1.kfa,54,15,15,clamp,,2,0,0,0,0,0,,,
2220,SWIM EM no,SWIM_EM_no.kfa,20,15,15,clamp,,1,0,0,0,0,0,,,
2221,Not Used,Wolf_swim.kfa,8,7,15,loop,,0,0,0,0,0,0,,,
2222,Centaur Swim,Centaur_swim.kfa,14,10,15,loop,,2,0,0,0,0,0,2222, ,
2223,lion swim,lion_swim.kfa,10,10,15,loop,,1,0,0,0,0,0,,,
2224,Sphinx swim,Sphinx_swim.kfa,10,15,15,loop,,1,0,0,0,0,0,,,
2225,SphinxGyno swim,SphinxGyno_swim.kfa,10,15,15,loop,,1,0,0,0,0,0,,,
2226,Centaur Swim Attack,Centaur_swimAttack.kfa,14,15,15,clamp,,2,0,0,0,0,0,,,
2227,MA EssenceDampen,MA_ED.kfa,38,15,15,clamp,,0,0,0,0,0,0,2235,3249,
2228,MA EssenceFlames,MA_EF.kfa,40,15,15,clamp,,0,0,0,0,0,0,2236,3249,
2229,MA EssenceSear,MA_ES.kfa,38,15,15,clamp,,0,0,0,0,0,0,2237,3249,
2230,MA EssenceShatter,MA_ESh.kfa,71,15,15,clamp,,0,0,0,0,0,0,2238,3249,
2231,MA Faultfinder,MA_Ff.kfa,55,15,15,clamp,,0,0,0,0,0,0,2239,3249,
2232,MA Powerleak,MA_Pl.kfa,31,15,15,clamp,,0,0,0,0,0,0,2240,3249,
2233,MA Sappingstrike,MA_Ss.kfa,31,15,15,clamp,,0,0,0,0,0,0,2241,3249,
2234,MA ThrowWeapon,MA_TW.kfa,23,15,15,clamp,,0,0,0,0,0,0,2242,3249,
2235,MA Swim EssenceDampen,Swim_MA_ED.kfa,38,15,15,clamp,,1,0,0,0,0,0,,,
2236,MA Swim EssenceFlames,Swim_MA_EF.kfa,40,15,15,clamp,,1,0,0,0,0,0,,,
2237,MA Swim EssenceSear,Swim_MA_ES.kfa,38,15,15,clamp,,1,0,0,0,0,0,,,
2238,MA Swim EssenceShatter,Swim_MA_ESh.kfa,71,15,15,clamp,,1,0,0,0,0,0,,,
2239,MA Swim Faultfinder,Swim_MA_Ff.kfa,55,15,15,clamp,,1,0,0,0,0,0,,,
2240,MA Swim Powerleak,Swim_MA_Pl.kfa,31,15,15,clamp,,1,0,0,0,0,0,,,
2241,MA Swim Sappingstrike,Swim_MA_Ss.kfa,31,15,15,clamp,,1,0,0,0,0,0,,,
2242,MA Swim ThrowWeapon,Swim_MA_TW.kfa,23,15,15,clamp,,1,0,0,0,0,0,,,
2243,ettin_idle,cata_ettin_idle.kfa,46,30,30,loop,,4,0,0,0,0,0,,,
2244,ettin_run,cata_ettin_run.kfa,20,30,30,loop,,4,0,0,0,0,0,,,
2245,ettin_walk,cata_ettin_walk.kfa,45,30,30,loop,,4,0,0,0,0,0,,,
2246,ettin_death,cata_ettin_death.kfa,38,30,30,clamp,,4,0,0,0,0,0,,,
2247,ettin_swim,ettin_swim.kfa,40,30,30,loop,,4,0,0,0,0,0,,,
2248,ettin_ahigh,cata_ettin_ahigh.kfa,50,30,30,clamp,,4,0,0,0,0,0,,,
2249,ettin_amed,cata_ettin_amed.kfa,40,30,30,clamp,,4,0,0,0,0,0,,,
2250,ettin_cidle,cata_ettin_cidle.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2251,ettin_hits,cata_ettin_hits.kfa,16,30,30,clamp,,4,0,0,0,0,0,,,
2252,ettin_Spellcast_A,cata_ettin_Spellcast_A.kfa,27,30,30,clamp,,4,0,0,0,0,0,,,
2253,ettin_Spellcast_B,cata_ettin_Spellcast_B.kfa,11,30,30,loop,,4,0,0,0,0,0,,,
2254,ettin_Spellcast_C,cata_ettin_Spellcast_C.kfa,73,30,30,clamp,,4,0,0,0,0,0,,,
2266,spider_cidle,cata_spider_cidle.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2267,spider_death,cata_spider_death.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2268,spider_flinch,cata_spider_flinch.kfa,15,30,30,clamp,,4,0,0,0,0,0,,,
2269,spider_idle,cata_spider_idle.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2270,spider_run,cata_spider_run.kfa,20,30,30,loop,,4,0,0,0,0,0,,,
2271,spider_walk,cata_spider_walk.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2272,spider_attack1,cata_spider_attack.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2273,snake_cidle,cata_snake_cidle.kfa,50,30,30,loop,,4,0,0,0,0,0,,,
2274,snake_death,cata_SNAKE_D.kfa,70,30,30,clamp,,4,0,0,0,0,0,,,
2275,snake_flinch,cata_snake_flinch.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2276,snake_idle,cata_SNAKE_I.kfa,80,30,30,loop,,4,0,0,0,0,0,,,
2277,snake_idle2,cata_snake_idle2.kfa,90,30,30,loop,,4,0,0,0,0,0,,,
2278,snake_idle3,cata_snake_idle3.kfa,100,30,30,loop,,4,0,0,0,0,0,,,
2279,snake_run,cata_snake_run.kfa,45,30,30,loop,,4,0,0,0,0,0,,,
2280,snake_swim,cata_snake_swim.kfa,45,30,30,loop,,4,0,0,0,0,0,,,
2281,snake_walk,cata_SNAKE_M.kfa,60,30,30,loop,,4,0,0,0,0,0,,,
2282,snake_attack1,cata_SNAKE_A.kfa,50,30,30,clamp,,4,0,0,0,0,0,,,
2283,lynx_cidle,lynx_cidle.kfa,35,30,30,loop,,4,0,0,0,0,0,3624,3249,
2284,lynx_death,lynx_death.kfa,45,30,30,clamp,,4,0,0,0,0,0, ,3249,
2285,lynx_flinch,lynx_flinch.kfa,20,30,30,clamp,,4,0,0,0,0,0, ,3249,
2286,lynx_idle,lynx_idle.kfa,45,30,30,loop,,4,0,0,0,0,0,3624,3249,
2287,lynx_idle2,lynx_idle2.kfa,70,30,30,loop,,4,0,0,0,0,0,3624,3249,
2288,lynx_idle3,lynx_idle3.kfa,50,30,30,loop,,4,0,0,0,0,0,3624,3249,
2289,lynx_run,lynx_run.kfa,15,30,30,loop,,4,0,0,0,0,0,3624,3248,
2290,Not Used,lynx_swim.kfa,15,30,30,loop,,4,0,0,0,0,0, ,3249,
2291,lynx_walk,lynx_walk.kfa,25,30,30,loop,,4,0,0,0,0,0,3624,3247,
2292,lynx_attack1,lynx_attack1.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2293,lynx_attack2,lynx_attack2.kfa,20,30,30,clamp,,4,0,0,0,0,0,,,
2294,ogre_idle,ogre_idle.kfa,46,30,30,loop,,4,0,0,0,0,0,,,
2295,ogre_run,ogre_run.kfa,20,30,30,loop,,4,0,0,0,0,0,,,
2296,ogre_walk,ogre_walk.kfa,45,30,30,loop,,4,0,0,0,0,0,,,
2297,bear_cidle,Cata_bear_cidle.kfa,30,30,30,loop,,4,0,0,0,0,0,3623,,
2298,bear_death,Cata_bear_death.kfa,60,30,30,clamp,,4,0,0,0,0,0,,,
2299,bear_flinch,Cata_bear_flinch.kfa,15,30,30,clamp,,4,0,0,0,0,0, ,,
2300,bear_idle,Cata_bear_idle.kfa,30,10,15,loop,,4,0,0,0,0,0,3623,,
2301,bear_run,Cata_bear_run.kfa,30,30,30,loop,,4,0,0,0,0,0,3623,,
2302,bear_walk,Cata_bear_walk.kfa,60,30,30,loop,,4,0,0,0,0,0,3623,,
2303,bear_attack,Cata_bear_attack.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2305,ant_cidle,cata_ant_cidle.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2306, ant_death,ant_die.kfa,90,30,30,clamp,,4,0,0,0,0,0,,,
2307, ant_flinch,cata_ant_flinch.kfa,20,30,30,clamp,,4,0,0,0,0,0,,,
2308, ant_idle,cata_ant_idle.kfa,60,15,30,loop,,4,0,0,0,0,0,,,
2309, ant_run,cata_ant_run.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2310, ant_walk,cata_ant_walk.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2311, ant_attack1,cata_ant_attack1.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2312,ant Idle 2,cata_ant_idle2.kfa,30,30,30,loop,,4,0,0,0,0,0,,,
2313,Wolf ATLO,Wolf_ATLO.kfa,15,25,30,clamp,,4,0,0,0,0,0,,,
2314,Wolf cidle,Wolf_cidle.kfa,25,25,30,loop,,4,0,0,0,0,0,3622,3249,
2315,Wolf death,Wolf_death.kfa,22,15,30,clamp,,4,0,0,0,0,0,,,
2316,Wolf flinch,Wolf_flinch.kfa,13,15,30,clamp,,4,0,0,0,0,0, ,3249,
2317,Wolf idle,Wolf_idle.kfa,35,15,30,loop,,4,0,0,0,0,0,3622,3249,
2318,Wolf run,Wolf_run.kfa,7,15,30,loop,,4,0,0,0,0,0,3622,3248,
2319,Wolf walk,Wolf_walk.kfa,17,15,30,loop,,4,0,0,0,0,0,3622,3247,
2320,New Female Briton Idle,I_BritF.kfa,120,15,30,loop,,4,0,0,0,0,0,,,
2322,Sprite_Lattack,Cata_Sprite_Lattack.kfa,40,30,30,clamp,,4,0,0,0,0,0,,,
2323,Sprite_BowA,Cata_Sprite_BowA.kfa,94,30,30,clamp,,4,0,0,0,0,0,,,
2324,Sprite_BowB,Cata_Sprite_BowB.kfa,14,30,30,loop,,4,0,0,0,0,0,,,
2325,Sprite_BowC,Cata_Sprite_BowC.kfa,40,30,30,clamp,,4,0,0,0,0,0,,,
2326,Sprite_Cidle,Cata_Sprite_Cidle.kfa,30,30,30,loop,,4,0,0,1,0,0,,,
2327,Sprite_Death,Cata_Sprite_Death.kfa,30,30,30,clamp,,4,0,0,0,0,0,,,
2328,Sprite_Flinch,Cata_Sprite_Flinch.kfa,25,30,30,clamp,,4,0,0,0,0,0,,,
2329,Sprite_Hattack,Cata_Sprite_Hattack.kfa,35,30,30,clamp,,4,0,0,0,0,0,,,
2330,Sprite_Idle1,Cata_Sprite_Idle1.kfa,45,18,30,loop,,4,0,0,0,0,0,,,
2331,Sprite_Idle2,Cata_Sprite_Idle2.kfa,100,30,30,loop,,4,0,0,0,0,0,,,
2332,Sprite_Run,Cata_Sprite_Run.kfa,26,30,30,loop,,4,0,0,0,0,0,,,
2333,Sprite_Swim,Cata_Sprite_Swim.kfa,55,30,30,loop,,4,0,0,0,0,0,,,
2334,Sprite_walk,Cata_Sprite_walk.kfa,45,30,30,loop,,4,0,0,0,0,0,,,
2335,Not Used,Bear_swim.kfa,10,15,30,loop,,4,0,0,0,0,0,,,
2336,Tree_Attack1,cata_Tree_Attack1.kfa,50,30,30,clamp,,4,0,0,0,0,0,,,
2337,Tree_Attack2,cata_Tree_Attack2.kfa,50,30,30,clamp,,4,0,0,0,0,0,,,
2338,Tree_Cidle,cata_Tree_Cidle.kfa,40,30,30,loop,,4,0,0,0,0,0,,,
2339,Tree_Death,cata_Tree_Death.kfa,60,30,30,clamp,,4,0,0,0,0,0,,,
2340,Tree_Flinch,cata_Tree_Flinch.kfa,20,30,30,clamp,,4,0,0,0,0,0,,,
2341,Tree_Idle,cata_Tree_Idle.kfa,60,7,30,loop,,4,0,0,0,0,0,,,
2342,Tree_Walk,cata_Tree_Walk.kfa,34,30,30,loop,,4,0,0,0,0,0,,,
2343,scrag spellcast A,scrag_spellcast_A.kfa,10,30,30,clamp,,4,0,0,0,0,0,,,
2344,scrag spellcast B,scrag_spellcast_B.kfa,20,30,30,loop,,4,0,0,0,0,0,,,
2345,scrag spellcast C,scrag_spellcast_C.kfa,29,30,30,clamp,,4,0,0,0,0,0,,,
2346,scrag cidle,scrag_cidle.kfa,40,30,30,loop,,4,0,0,0,0,0,,,
2347,scrag death,scrag_death.kfa,25,30,30,clamp,,4,0,0,0,0,0,,,
2348,scrag flinch,scrag_flinch.kfa,20,30,30,clamp,,4,0,0,0,0,0,,,
2349,scrag attack hi,scrag_attack_hi.kfa,40,30,30,clamp,,4,0,0,0,0,0,,,
2350,scrag attack lo,scrag_attack_lo.kfa,35,30,30,clamp,,4,0,0,0,0,0,,,
2351,scrag idle,scrag_idle.kfa,60,30,30,loop,,4,0,0,0,0,0,,,
2352,scrag run,scrag_run.kfa,25,30,30,loop,,4,0,0,0,0,0,,,
2353,scrag swim,scrag_swim.kfa,40,30,30,loop,,4,0,0,0,0,0,,,
2354,scrag walk,scrag_walk.kfa,46,30,30,loop,,4,0,0,0,0,0,,,
2355,giant idle,giant_idle.kfa,70,30,30,loop,,4,0,0,0,0,0,2366,3249,
2356,giant idle2,giant_idle2.kfa,100,30,30,loop,,4,0,0,0,0,0,2366,3249,
2357,giant idle3 ,giant_idle3.kfa ,80,30,30,loop,,4,0,0,0,0,0,2366,3249,
2358,giant cidle,giant_cidle.kfa,50,30,30,loop,,4,0,0,0,0,0,2366,3249,
