Information,,Skin,,Archive,Expansion,
709,leaGloves01_std01_TOA_S.dds,leaGloves01_std01_TOA_S.dds,0,28,4,
710,leaGloves01_std01_TOA_V.dds,leaGloves01_std01_TOA_V.dds,0,28,4,
711,leaGloves01_std02.dds,leaGloves01_std02.dds,0,17,4,
712,leaGloves01_std03.dds,leaGloves01_std03.dds,0,17,4,
713,leaGloves01_std04.dds,leaGloves01_std04.dds,0,17,4,
714,leaGloves01_std05.dds,leaGloves01_std05.dds,0,17,4,
715,leaGloves01_std06.dds,leaGloves01_std06.dds,0,17,4,
716,leaGloves01_std07.dds,leaGloves01_std07.dds,0,17,4,
717,leaGloves01_std08.dds,leaGloves01_std08.dds,0,17,4,
718,leaGloves01_TOA_O.dds,leaGloves01_TOA_O.dds,0,28,4,
719,leaGloves01_TOA_S.dds,leaGloves01_TOA_S.dds,0,28,4,
720,leaGloves01_TOA_V.dds,leaGloves01_TOA_V.dds,0,28,4,
721,leagloves01__Scalar_TOA_V.dds,leagloves01_Scalar_TOA_V.dds,0,28,4,
722,leaLegs01_01.dds,leaLegs01_01.dds,0,17,4,
723,leaLegs01_01_tint.dds,leaLegs01_01_tint.dds,0,17,4,
724,leaLegs02_02.dds,leaLegs02_02.dds,0,17,4,
725,leaLegs02_02_tint.dds,leaLegs02_02_tint.dds,0,17,4,
726,Lur_f_MummyHead01.dds,Lur_f_MummyHead01.dds,0,6,4,
727,lur_f_ShadeHead.dds,lur_f_ShadeHead.dds,0,6,4,
728,lur_f_stonehead.dds,lur_f_stonehead.dds,0,6,4,
729,Lur_m_MummyHead01.dds,Lur_m_MummyHead01.dds,0,6,4,
730,lur_m_ShadeHead.dds,lur_m_ShadeHead.dds,0,6,4,
731,lur_m_stonehead.dds,lur_m_stonehead.dds,0,6,4,
732,Nor_f_Hair01.dds,Nor_f_Hair01.dds,0,7,4,
733,Nor_f_Hair02.dds,Nor_f_Hair02.dds,0,7,4,
734,Nor_f_Head01.dds,Nor_f_Head01.dds,0,7,4,
735,Nor_f_Head02.dds,Nor_f_Head02.dds,0,7,4,
736,Nor_f_Head03.dds,Nor_f_Head03.dds,0,7,4,
737,Nor_f_Head04.dds,Nor_f_Head04.dds,0,7,4,
738,Nor_f_Head05.dds,Nor_f_Head05.dds,0,7,4,
739,Nor_f_Head06.dds,Nor_f_Head06.dds,0,7,4,
740,Nor_F_MummyHead01.dds,Nor_F_MummyHead01.dds,0,7,4,
741,Nor_m_Hair01.dds,Nor_m_Hair01.dds,0,7,4,
742,Nor_m_Hair02.dds,Nor_m_Hair02.dds,0,7,4,
743,Nor_m_Head01.dds,Nor_m_Head01.dds,0,30,4,
744,Nor_m_Head02.dds,Nor_m_Head02.dds,0,30,4,
745,Nor_m_Head03.dds,Nor_m_Head03.dds,0,30,4,
746,Nor_m_Head04.dds,Nor_m_Head04.dds,0,30,4,
747,Nor_m_Head05.dds,Nor_m_Head05.dds,0,30,4,
748,Nor_m_Head06.dds,Nor_m_Head06.dds,0,30,4,
749,Nor_m_MummyHead01.dds,Nor_m_MummyHead01.dds,0,53,4,
750,paladin_epic_arm.dds,paladin_epic_arm.dds,0,17,4,
751,pltBody01_01_f.dds,pltBody01_01_f.dds,0,18,4,
752,pltBody01_01_m.dds,pltBody01_01_m.dds,0,18,4,
753,pltBody01_02_f.dds,pltBody01_02_f.dds,0,18,4,
754,pltBody01_02_m.dds,pltBody01_02_m.dds,0,18,4,
755,pltBody01_03_f.dds,pltBody01_03_f.dds,0,18,4,
756,pltBody01_03_m.dds,pltBody01_03_m.dds,0,18,4,
757,pltBody01_04_f.dds,pltBody01_04_f.dds,0,18,4,
758,pltBody01_04_m.dds,pltBody01_04_m.dds,0,18,4,
759,pltBody01_05_f.dds,pltBody01_05_f.dds,0,18,4,
760,pltBody01_05_m.dds,pltBody01_05_m.dds,0,18,4,
761,pltBody01_chn01_TOA_A_f.dds,pltBody01_chn01_TOA_A_f.dds,0,18,4,
762,pltBody01_chn01_TOA_A_m.dds,pltBody01_chn01_TOA_A_m.dds,0,18,4,
763,pltBody01_chn01_TOA_O_f.dds,pltBody01_chn01_TOA_O_f.dds,0,18,4,
764,pltBody01_chn01_TOA_O_m.dds,pltBody01_chn01_TOA_O_m.dds,0,18,4,
765,pltBody01_chn01_TOA_S_f.dds,pltBody01_chn01_TOA_S_f.dds,0,18,4,
766,pltBody01_chn01_TOA_S_m.dds,pltBody01_chn01_TOA_S_m.dds,0,18,4,
767,pltBody01_chn01_TOA_V_f.dds,pltBody01_chn01_TOA_V_f.dds,0,18,4,
768,pltBody01_chn01_TOA_V_m.dds,pltBody01_chn01_TOA_V_m.dds,0,18,4,
769,pltBody01_eirene_TOA_O.dds,pltBody01_eirene_TOA_O_m.dds,0,27,4,
770,pltBody01_Epic_Armsman_f.dds,pltBody01_Epic_Armsman_f.dds,0,18,4,
771,pltBody01_Epic_Armsman_m.dds,pltBody01_Epic_Armsman_m.dds,0,18,4,
772,pltbody01_Epic_Cleric_f.dds,pltbody01_Epic_Cleric_f.dds,0,18,4,
773,pltbody01_Epic_Cleric_m.dds,pltbody01_Epic_Cleric_m.dds,0,18,4,
774,pltBody01_Epic_Healer_f.dds,pltBody01_Epic_Healer_f.dds,0,18,4,
775,pltBody01_Epic_Healer_m.dds,pltBody01_Epic_Healer_m.dds,0,18,4,
776,pltBody01_Epic_Merc_f.dds,pltBody01_Epic_Merc_f.dds,0,18,4,
777,pltBody01_Epic_Merc_m.dds,pltBody01_Epic_Merc_m.dds,0,18,4,
778,pltBody01_Epic_Minstrel_m.dds,pltBody01_Epic_Minstrel_m.dds,0,18,4,
779,pltBody01_Epic_Paladin.dds,pltBody01_Epic_Paladin.dds,0,18,4,
780,pltBody01_Epic_Reaver_f.dds,pltBody01_Epic_Reaver_f.dds,0,18,4,
781,pltBody01_Epic_Reaver_m.dds,pltBody01_Epic_Reaver_m.dds,0,18,4,
782,pltBody01_Epic_Skald_f.dds,pltBody01_Epic_Skald_f.dds,0,18,4,
783,pltBody01_Epic_Skald_m.dds,pltBody01_Epic_Skald_m.dds,0,18,4,
784,pltBody01_gift_TOA_A_f.dds,pltBody01_gift_TOA_A_f.dds,0,28,4,
785,pltBody01_gift_TOA_A_m.dds,pltBody01_gift_TOA_A_m.dds,0,27,4,
786,pltBody01_scl01_TOA_A_f.dds,pltBody01_scl01_TOA_A_f.dds,0,27,4,
787,pltBody01_scl01_TOA_A_m.dds,pltBody01_scl01_TOA_A_m.dds,0,27,4,
788,pltBody01_scl01_TOA_O_f.dds,pltBody01_scl01_TOA_O_f.dds,0,29,4,
789,pltBody01_scl01_TOA_O_m.dds,pltBody01_scl01_TOA_O_m.dds,0,29,4,
790,pltBody01_scl01_TOA_S_f.dds,pltBody01_scl01_TOA_S_f.dds,0,18,4,
791,pltBody01_scl01_TOA_S_m.dds,pltBody01_scl01_TOA_S_m.dds,0,18,4,
792,pltBody01_scl01_TOA_V_f.dds,pltBody01_scl01_TOA_V_f.dds,0,18,4,
793,pltBody01_scl01_TOA_V_m.dds,pltBody01_scl01_TOA_V_m.dds,0,18,4,
794,pltBody01_TOA_A_f.dds,pltBody01_TOA_A_f.dds,0,18,4,
795,pltBody01_TOA_A_m.dds,pltBody01_TOA_A_m.dds,0,18,4,
796,pltBody01_TOA_O_f.dds,pltBody01_TOA_O_f.dds,0,18,4,
797,pltBody01_TOA_O_m.dds,pltBody01_TOA_O_m.dds,0,18,4,
798,pltBody01_TOA_S_f.dds,pltBody01_TOA_S_f.dds,0,18,4,
799,pltBody01_TOA_S_m.dds,pltBody01_TOA_S_m.dds,0,18,4,
800,pltBody01_TOA_V_f.dds,pltBody01_TOA_V_f.dds,0,18,4,
801,pltBody01_TOA_V_m.dds,pltBody01_TOA_V_m.dds,0,18,4,
802,pltBoot01_Epic_Paladin.dds,pltBoot01_Epic_Paladin.dds,0,19,4,
803,pltBoots01_01.dds,pltBoots01_01.dds,0,19,4,
804,pltBoots01_02.dds,pltBoots01_02.dds,0,19,4,
805,pltBoots01_03.dds,pltBoots01_03.dds,0,19,4,
806,pltBoots01_04.dds,pltBoots01_04.dds,0,19,4,
807,pltBoots01_05.dds,pltBoots01_05.dds,0,19,4,
808,pltBoots01_chn01_TOA_A.dds,pltBoots01_chn01_TOA_A.dds,0,28,4,
809,pltBoots01_chn01_TOA_O.dds,pltBoots01_chn01_TOA_O.dds,0,28,4,
810,pltBoots01_chn01_TOA_S.dds,pltBoots01_chn01_TOA_S.dds,0,28,4,
811,pltBoots01_chn01_TOA_V.dds,pltBoots01_chn01_TOA_V.dds,0,28,4,
812,pltBoots01_eirene_TOA_O.dds,pltBoots01_eirene_TOA_O.dds,0,19,4,
813,pltBoots01_Epic_Armsman.dds,pltBoots01_Epic_Armsman.dds,0,19,4,
814,pltboots01_Epic_Cleric.dds,pltboots01_Epic_Cleric.dds,0,19,4,
815,pltBoots01_Epic_Healer.dds,pltBoots01_Epic_Healer.dds,0,19,4,
816,pltBoots01_Epic_Merc.dds,pltBoots01_Epic_Merc.dds,0,19,4,
817,pltBoots01_Epic_Minstrel.dds,pltBoots01_Epic_Minstrel.dds,0,19,4,
818,pltBoots01_Epic_Skald.dds,pltBoots01_Epic_Skald.dds,0,19,4,
819,pltBoots01_scl01_TOA_A.dds,pltBoots01_scl01_TOA_A.dds,0,28,4,
820,pltBoots01_scl01_TOA_O.dds,pltBoots01_scl01_TOA_O.dds,0,28,4,
821,pltBoots01_scl01_TOA_S.dds,pltBoots01_scl01_TOA_S.dds,0,28,4,
822,pltBoots01_scl01_TOA_V.dds,pltBoots01_scl01_TOA_V.dds,0,28,4,
823,pltBoots01_TOA_A.dds,pltBoots01_TOA_A.dds,0,28,4,
824,pltBoots01_TOA_O.dds,pltBoots01_TOA_O.dds,0,28,4,
825,pltBoots01_TOA_S.dds,pltBoots01_TOA_S.dds,0,28,4,
826,pltBoots01_TOA_V.dds,pltBoots01_TOA_V.dds,0,28,4,
827,pltGloves01_01.dds,pltGloves01_01.dds,0,19,4,
828,pltGloves01_02.dds,pltGloves01_02.dds,0,19,4,
829,pltGloves01_03.dds,pltGloves01_03.dds,0,19,4,
830,pltGloves01_04.dds,pltGloves01_04.dds,0,19,4,
831,pltGloves01_05.dds,pltGloves01_05.dds,0,19,4,
832,pltGloves01_chn01_TOA_A.dds,pltGloves01_chn01_TOA_A.dds,0,28,4,
833,pltGloves01_chn01_TOA_O.dds,pltGloves01_chn01_TOA_O.dds,0,28,4,
834,pltGloves01_chn01_TOA_S.dds,pltGloves01_chn01_TOA_S.dds,0,28,4,
835,pltGloves01_chn01_TOA_V.dds,pltGloves01_chn01_TOA_V.dds,0,28,4,
836,pltGloves01_eirene_TOA_O.dds,pltGloves01_eirene_TOA_O.dds,0,19,4,
837,pltGloves01_Epic_Armsman.dds,pltGloves01_Epic_Armsman.dds,0,19,4,
838,pltGloves01_Epic_Cleric.dds,pltGloves01_Epic_Cleric.dds,0,19,4,
839,pltGloves01_Epic_Healer.dds,pltGloves01_Epic_Healer.dds,0,19,4,
840,pltGloves01_Epic_Merc.dds,pltGloves01_Epic_Merc.dds,0,19,4,
841,pltGloves01_Epic_Minstrel.dds,pltGloves01_Epic_Minstrel.dds,0,19,4,
842,pltGloves01_Epic_Paladin.dds,pltGloves01_Epic_Paladin.dds,0,19,4,
843,pltGloves01_Epic_Skald.dds,pltGloves01_Epic_Skald.dds,0,19,4,
844,pltGloves01_scl01_TOA_A.dds,pltGloves01_scl01_TOA_A.dds,0,28,4,
845,pltGloves01_scl01_TOA_O.dds,pltGloves01_scl01_TOA_O.dds,0,28,4,
846,pltGloves01_scl01_TOA_S.dds,pltGloves01_scl01_TOA_S.dds,0,28,4,
847,pltGloves01_scl01_TOA_V.dds,pltGloves01_scl01_TOA_V.dds,0,28,4,
848,pltGloves01_TOA_A.dds,pltGloves01_TOA_A.dds,0,28,4,
849,pltGloves01_TOA_O.dds,pltGloves01_TOA_O.dds,0,28,4,
850,pltGloves01_TOA_S.dds,pltGloves01_TOA_S.dds,0,28,4,
851,pltGloves01_TOA_V.dds,pltGloves01_TOA_V.dds,0,28,4,
852,pltGloves_Epic_Reaver.dds,pltGloves_Epic_Reaver.dds,0,19,4,
853,pltLegs01_04.dds,pltLegs01_04.dds,0,19,4,
854,pltlegs01_eirene_TOA_O.dds,pltlegs01_eirene_TOA_O.dds,0,19,4,
855,renBody01_01_F.dds,renBody01_01_F.dds,0,23,4,
856,renBody01_01_M.dds,renBody01_01_M.dds,0,23,4,
857,renBody01_02_F.dds,renBody01_02_F.dds,0,23,4,
858,renBody01_02_M.dds,renBody01_02_M.dds,0,23,4,
859,renBody02_01_F.dds,renBody02_01_F.dds,0,23,4,
860,renBody02_01_M.dds,renBody02_01_M.dds,0,23,4,
861,renBody02_02_M.dds,renBody02_02_M.dds,0,23,4,
862,renBody03_01_F.dds,renBody03_01_F.dds,0,23,4,
863,renBody03_01_M.dds,renBody03_01_M.dds,0,23,4,
864,renBody03_Epic_Blademaster_f.dds,renBody03_Epic_Blademaster_f.dds,0,23,4,
865,renBody03_Epic_Blademaster_m.dds,renBody03_Epic_Blademaster_m.dds,0,23,4,
866,robBody01_01.dds,robBody01_01.dds,0,20,4,
867,robBody01_01_f.dds,robBody01_01_f.dds,0,20,4,
868,robBody01_02.dds,robBody01_02.dds,0,20,4,
869,robBody01_02_f.dds,robBody01_02_f.dds,0,20,4,
870,robBody01_02_m.dds,robBody01_02_m.dds,0,20,4,
871,robBody01_03.dds,robBody01_03.dds,0,20,4,
872,robBody01_03_f.dds,robBody01_03_f.dds,0,20,4,
873,robBody01_03_m.dds,robBody01_03_m.dds,0,20,4,
874,robBody01_04.dds,robBody01_04.dds,0,20,4,
875,robBody01_04_f.dds,robBody01_04_f.dds,0,20,4,
876,robBody01_04_m.dds,robBody01_04_m.dds,0,20,4,
877,robBody01_05.dds,robBody01_05.dds,0,20,4,
878,robBody01_05_f.dds,robBody01_05_f.dds,0,20,4,
879,robBody01_05_m.dds,robBody01_05_m.dds,0,20,4,
880,robBody01_06.dds,robBody01_06.dds,0,20,4,
881,robBody01_06_f.dds,robBody01_06_f.dds,0,20,4,
882,robBody01_06_m.dds,robBody01_06_m.dds,0,20,4,
883,robBody01_07.dds,robBody01_07.dds,0,20,4,
884,robBody01_07_f.dds,robBody01_07_f.dds,0,20,4,
885,robBody01_07_m.dds,robBody01_07_m.dds,0,20,4,
886,robBody01_08.dds,robBody01_08.dds,0,20,4,
887,robBody01_08_f.dds,robBody01_08_f.dds,0,20,4,
888,robBody01_08_m.dds,robBody01_08_m.dds,0,20,4,
889,robBody01_09.dds,robBody01_09.dds,0,20,4,
890,robBody01_09_f.dds,robBody01_09_f.dds,0,20,4,
891,robBody01_09_m.dds,robBody01_09_m.dds,0,20,4,
892,robBody01_10.dds,robBody01_10.dds,0,20,4,
893,robBody01_10_f.dds,robBody01_10_f.dds,0,20,4,
894,robBody01_10_m.dds,robBody01_10_m.dds,0,20,4,
895,robBody01_11.dds,robBody01_11.dds,0,21,4,
896,robBody01_11_f.dds,robBody01_11_f.dds,0,21,4,
897,robBody01_11_m.dds,robBody01_11_m.dds,0,21,4,
898,robBody01_12.dds,robBody01_12.dds,0,21,4,
899,robBody01_12_f.dds,robBody01_12_f.dds,0,21,4,
900,robBody01_12_m.dds,robBody01_12_m.dds,0,21,4,
901,robBody01_13.dds,robBody01_13.dds,0,21,4,
902,robBody01_13_f.dds,robBody01_13_f.dds,0,21,4,
903,robBody01_13_m.dds,robBody01_13_m.dds,0,21,4,
904,robBody01_14.dds,robBody01_14.dds,0,21,4,
905,robBody01_14_f.dds,robBody01_14_f.dds,0,25,4,
906,robBody01_14_m.dds,robBody01_14_m.dds,0,25,4,
907,robBody01_15.dds,robBody01_15.dds,0,25,4,
908,robBody01_15_f.dds,cthbody_01_15_f.dds,0,12,4,
909,robBody01_15_m.dds,cthbody_01_15_m.dds,0,12,4,
910,robBody01_16.dds,robBody01_16.dds,0,25,4,
911,cthbody01_16_m.dds,cthbody_01_16_m.dds,0,12,4,
912,cthbody01_16_f.dds,cthbody_01_16_f.dds,0,12,4,
913,robBody01_17.dds,robBody01_17.dds,0,21,4,
914,cthbody01_09_f.dds,cthbody01_09_f.dds,0,12,4,
915,cthbody01_09_m.dds,cthbody01_09_m.dds,0,12,4,
916,robBody01_18.dds,robBody01_18.dds,0,21,4,
917,robBody01_18_f.dds,cthbody01_11_f.dds,0,12,4,
918,robBody01_18_m.dds,cthbody01_11_m.dds,0,12,4,
919,robBody01_cth01_TOA_A_m.dds,robBody01_cth01_TOA_A_m.dds,0,33,4,
920,robBody01_cth01_TOA_O_m.dds,robBody01_cth01_TOA_O_m.dds,0,33,4,
921,robBody01_cth01_TOA_S_m.dds,robBody01_cth01_TOA_S_m.dds,0,33,4,
922,robBody01_cth01_TOA_V_m.dds,robBody01_cth01_TOA_V_m.dds,0,33,4,
923,robBody01_Epic_Animist.dds,robBody01_Epic_Animist.dds,0,22,4,
924,robBody01_Epic_Cabalist_m.dds,robBody01_Epic_Cabalist_m.dds,0,22,4,
925,robBody01_Epic_Eldritch_m.dds,robBody01_Epic_Eldritch_m.dds,0,22,4,
926,robBody01_Epic_Enchanter_f.dds,robBody01_Epic_Enchanter_f.dds,0,22,4,
927,robBody01_Epic_Enchanter_m.dds,robBody01_Epic_Enchanter_m.dds,0,22,4,
928,robBody01_Epic_Mentalist_m.dds,robBody01_Epic_Mentalist_m.dds,0,22,4,
929,robBody01_Epic_Necromancer_m.dds,robBody01_Epic_Necromancer_m.dds,0,22,4,
930,robBody01_Epic_Theurgist_m.dds,robBody01_Epic_Theurgist_m.dds,0,30,4,
931,robBody01_Epic_Vale_m.dds,robBody01_Epic_Vale_m.dds,0,22,4,
932,robBody01_Epic_Wizard.dds,robBody01_Epic_Wizard.dds,0,22,4,
933,robBody01_lea01_TOA_A_m.dds,robBody01_lea01_TOA_A_m.dds,0,33,4,
934,robBody01_lea01_TOA_O_m.dds,robBody01_lea01_TOA_O_m.dds,0,33,4,
935,robBody01_lea01_TOA_S_m.dds,robBody01_lea01_TOA_S_m.dds,0,33,4,
936,robBody01_lea01_TOA_V_m.dds,robBody01_lea01_TOA_V_m.dds,0,33,4,
937,robBody01_naliah_TOA_S_m.dds,robBody01_naliah_TOA_S_m.dds,0,22,4,
938,robBody01_rsch_TOA_A.dds,robBody01_rsch_TOA_A.dds,0,23,4,
939,robBody01_rsch_TOA_H.dds,robBody01_rsch_TOA_H.dds,0,23,4,
940,robBody01_rsch_TOA_N.dds,robBody01_rsch_TOA_N.dds,0,23,4,
941,robBoot01_Epic_Eldritch.dds,robBoot01_Epic_Eldritch.dds,0,23,4,
942,robBoot01_Epic_Necromancer.dds,robBoot01_Epic_Necromancer.dds,0,23,4,
943,robBoots01_Epic_Animist.dds,robBoots01_Epic_Animist.dds,0,23,4,
944,robBoots01_Epic_Cabalist.dds,robBoots01_Epic_Cabalist.dds,0,23,4,
945,robBoots01_Epic_Enchanter.dds,robBoots01_Epic_Enchanter.dds,0,23,4,
946,robBoots01_Epic_Mentalist.dds,robBoots01_Epic_Mentalist.dds,0,23,4,
947,robBoots01_Epic_Theurgist.dds,robBoots01_Epic_Theurgist.dds,0,23,4,
948,robBoots01_Epic_Vale.dds,robBoots01_Epic_Vale.dds,0,23,4,
949,robBoots01_Epic_Wizard.dds,robBoots01_Epic_Wizard.dds,0,23,4,
950,robGlove01_Epic_Eldritch.dds,robGlove01_Epic_Eldritch.dds,0,23,4,
951,robGlove01_Epic_Necromancer.dds,robGlove01_Epic_Necromancer.dds,0,23,4,
952,robGloves01_Epic_Animist.dds,robGloves01_Epic_Animist.dds,0,23,4,
953,robGloves01_Epic_Cabalist.dds,robGloves01_Epic_Cabalist.dds,0,23,4,
954,robGloves01_Epic_Enchanter.dds,robGloves01_Epic_Enchanter.dds,0,23,4,
955,robGloves01_Epic_Mentalist.dds,robGloves01_Epic_Mentalist.dds,0,23,4,
956,robGloves01_Epic_Theurgist.dds,robGloves01_Epic_Theurgist.dds,0,23,4,
957,robGloves01_Epic_Vale.dds,robGloves01_Epic_Vale.dds,0,23,4,
958,robGloves01_Epic_Wizard.dds,robGloves01_Epic_Wizard.dds,0,23,4,
959,Sar_f_MummyHead01.dds,Sar_f_MummyHead01.dds,0,7,4,
960,sar_f_ShadeHead.dds,sar_f_ShadeHead.dds,0,7,4,
961,sar_f_stonehead.dds,sar_f_stonehead.dds,0,7,4,
962,Sar_m_MummyHead01.dds,Sar_m_MummyHead01.dds,0,7,4,
963,sar_m_ShadeHead.dds,sar_m_ShadeHead.dds,0,7,4,
964,Sar_m_stonehead.dds,Sar_m_stonehead.dds,0,7,4,
965,sclbody01_01_F.dds,sclbody01_01_F.dds,0,24,4,
966,sclbody01_01_M.dds,sclbody01_01_M.dds,0,24,4,
967,sclbody01_02_M.dds,sclbody01_02_M.dds,0,24,4,
968,sclBody01_03_F.dds,sclBody01_03_F.dds,0,24,4,
969,sclBody01_03_M.dds,sclBody01_03_M.dds,0,24,4,
970,sclBody01_04_F.dds,sclBody01_04_F.dds,0,24,4,
971,sclBody01_04_M.dds,sclBody01_04_M.dds,0,24,4,
972,sclBody01_Epic_Champion_f.dds,sclBody01_Epic_Champion_f.dds,0,24,4,
973,sclBody01_Epic_Champion_m.dds,sclBody01_Epic_Champion_m.dds,0,24,4,
974,sclBody01_Epic_Druid_f.dds,sclBody01_Epic_Druid_f.dds,0,24,4,
975,sclBody01_Epic_Druid_m.dds,sclBody01_Epic_Druid_m.dds,0,24,4,
976,sclBody01_Epic_Hero_f.dds,sclBody01_Epic_Hero_f.dds,0,24,4,
977,sclBody01_Epic_Hero_m.dds,sclBody01_Epic_Hero_m.dds,0,24,4,
978,sclBody01_Epic_Warden_f.dds,sclBody01_Epic_Warden_f.dds,0,24,4,
979,sclBody01_Epic_Warden_m.dds,sclBody01_Epic_Warden_m.dds,0,24,4,
980,sclBoots01_01.dds,sclBoots01_01.dds,0,24,4,
981,sclBoots01_02.dds,sclBoots01_02.dds,0,24,4,
982,sclBoots01_03.dds,sclBoots01_03.dds,0,24,4,
983,sclBoots01_04.dds,sclBoots01_04.dds,0,24,4,
984,sclBoots01_Epic_Champion.dds,sclBoots01_Epic_Champion.dds,0,24,4,
985,sclBoots01_Epic_Druid.dds,sclBoots01_Epic_Druid.dds,0,24,4,
986,sclBoots01_Epic_Hero.dds,sclBoots01_Epic_Hero.dds,0,24,4,
987,sclBoots01_Epic_Warden.dds,sclBoots01_Epic_Warden.dds,0,24,4,
988,sclGloves01_01.dds,sclGloves01_01.dds,0,24,4,
989,sclGloves01_02.dds,sclGloves01_02.dds,0,24,4,
990,sclGloves01_03.dds,sclGloves01_03.dds,0,24,4,
991,sclGloves01_04.dds,sclGloves01_04.dds,0,24,4,
992,sclGloves01_Epic_Champion.dds,sclGloves01_Epic_Champion.dds,0,24,4,
993,sclGloves01_Epic_Druid.dds,sclGloves01_Epic_Druid.dds,0,24,4,
994,sclGloves01_Epic_Hero.dds,sclGloves01_Epic_Hero.dds,0,24,4,
995,sclGloves01_Epic_Warden.dds,sclGloves01_Epic_Warden.dds,0,24,4,
996,Sha_f_MummyHead01.dds,Sha_f_MummyHead01.dds,0,8,4,
997,sha_f_ShadeHead.dds,sha_f_ShadeHead.dds,0,8,4,
998,sha_f_stonehead.dds,sha_f_stonehead.dds,0,8,4,
999,Sha_m_MummyHead01.dds,Sha_m_MummyHead01.dds,0,8,4,
1000,sha_m_ShadeHead.dds,sha_m_ShadeHead.dds,0,8,4,
1001,sha_m_stonehead.dds,sha_m_stonehead.dds,0,8,4,
1002,stdBody01_01_f.dds,stdBody01_01_f.dds,0,24,4,
1003,stdBody01_01_m.dds,stdBody01_02_m.dds,0,24,4,
1004,stdBody01_02_f.dds,stdBody01_02_f.dds,0,24,4,
1005,stdBody01_02_m.dds,stdBody01_02_m.dds,0,24,4,
1006,stdBody01_03_f.dds,stdBody01_03_f.dds,0,24,4,
1007,stdBody01_03_m.dds,stdBody01_03_m.dds,0,24,4,
1008,stdBody01_04_f.dds,stdBody01_04_f.dds,0,24,4,
1009,stdBody01_04_m.dds,stdBody01_04_m.dds,0,24,4,
1010,stdBody02_01_f.dds,stdBody02_01_f.dds,0,24,4,
1011,stdBody02_01_m.dds,stdBody02_01_m.dds,0,24,4,
1012,stdBody02_02_f.dds,stdBody02_02_f.dds,0,24,4,
1013,stdBody02_02_m.dds,stdBody02_02_m.dds,0,24,4,
1014,stdBody02_lea01_F.dds,stdBody02_lea01_F.dds,0,24,4,
1015,stdBody02_lea01_M.dds,stdBody02_lea01_M.dds,0,24,4,
1016,stdBody02_lea02_F.dds,stdBody02_lea02_F.dds,0,24,4,
1017,stdBody02_lea02_M.dds,stdBody02_lea02_M.dds,0,24,4,
1018,stdBody02_lea03_F.dds,stdBody02_lea03_F.dds,0,24,4,
1019,stdBody02_lea03_M.dds,stdBody02_lea03_M.dds,0,24,4,
1020,stdBody02_lea04_F.dds,stdBody02_lea04_F.dds,0,24,4,
1021,stdBody02_lea04_M.dds,stdBody02_lea04_M.dds,0,24,4,
1022,stdBody02_lea05_F.dds,stdBody02_lea05_F.dds,0,24,4,
1023,stdBody02_lea05_M.dds,stdBody02_lea05_M.dds,0,24,4,
1024,stdBody02_lea06_F.dds,stdBody02_lea06_F.dds,0,24,4,
1025,stdBody02_lea06_M.dds,stdBody02_lea06_M.dds,0,24,4,
1026,stdBody03_01_f.dds,stdBody01_04_f.dds ,0,24,4,
1027,stdBody03_01_m.dds,stdBody01_04_mdds ,0,24,4,
1028,Syl_F_MummyHead01.dds,Syl_F_MummyHead01.dds,0,8,4,
1029,Syl_m_MummyHead01.dds,Syl_m_MummyHead01.dds,0,8,4,
1030,syl_m_ShadeHead.dds,syl_m_ShadeHead.dds,0,8,4,
1031,syl_m_stonehead.dds,syl_m_stonehead.dds,0,8,4,
1032,TOA_Stone.dds,TOA_Stone.dds,0,25,4,
1033,tro_f_decal01_blue.dds,tro_f_decal01_blue.dds,0,9,4,
1034,tro_f_decal01_red.dds,tro_f_decal01_red.dds,0,9,4,
1035,tro_f_decal01_yellow.dds,tro_f_decal01_yellow.dds,0,9,4,
1036,tro_f_decal02_blue.dds,tro_f_decal02_blue.dds,0,9,4,
1037,tro_f_decal02_red.dds,tro_f_decal02_red.dds,0,9,4,
1038,tro_f_decal02_yellow.dds,tro_f_decal02_yellow.dds,0,9,4,
1039,tro_f_decal03_blue.dds,tro_f_decal03_blue.dds,0,9,4,
1040,tro_f_decal03_red.dds,tro_f_decal03_red.dds,0,9,4,
1041,tro_f_decal03_yellow.dds,tro_f_decal03_yellow.dds,0,9,4,
1042,tro_f_decal04_blue.dds,tro_f_decal04_blue.dds,0,9,4,
1043,tro_f_decal04_red.dds,tro_f_decal04_red.dds,0,9,4,
1044,tro_f_decal04_yellow.dds,tro_f_decal04_yellow.dds,0,9,4,
1045,tro_f_decal05_blue.dds,tro_f_decal05_blue.dds,0,9,4,
1046,tro_f_decal05_red.dds,tro_f_decal05_red.dds,0,9,4,
1047,tro_f_decal05_yellow.dds,tro_f_decal05_yellow.dds,0,9,4,
1048,tro_f_decal06_blue.dds,tro_f_decal06_blue.dds,0,9,4,
1049,tro_f_decal06_red.dds,tro_f_decal06_red.dds,0,9,4,
1050,tro_f_decal06_yellow.dds,tro_f_decal06_yellow.dds,0,9,4,
1051,tro_f_decal07_blue.dds,tro_f_decal07_blue.dds,0,9,4,
1052,tro_f_decal07_red.dds,tro_f_decal07_red.dds,0,9,4,
1053,tro_f_decal07_yellow.dds,tro_f_decal07_yellow.dds,0,9,4,
1054,tro_f_Head01.dds,tro_f_Head01.dds,0,9,4,
1055,tro_f_Head02.dds,tro_f_Head02.dds,0,9,4,
