1500 limit,,,Expansion,Housing
892,ADR_DSL_Mid_1h_hammer_blunt_offhand_sfx,ADR_DSL_Mid_1h_hammer_blunt_offhand_sfx,0,0
893,ADR_DSL_Mid_1h_sword_slash_mainhand_sfx,ADR_DSL_Mid_1h_sword_slash_mainhand_sfx,0,0
894,ADR_DSL_Mid_1h_sword_slash_offhand_sfx,ADR_DSL_Mid_1h_sword_slash_offhand_sfx,0,0
895,ADR_DSL_Mid_1h_sword_thrust_mainhand_sfx,ADR_DSL_Mid_1h_sword_thrust_mainhand_sfx,0,0
896,ADR_DSL_Mid_1h_sword_thrust_offhand_sfx,ADR_DSL_Mid_1h_sword_thrust_offhand_sfx,0,0
897,ADR_DSL_Mid_2h_axe_sfx,ADR_DSL_Mid_2h_axe_sfx,0,0
898,ADR_DSL_Mid_2h_hammer_blunt_sfx,ADR_DSL_Mid_2h_hammer_blunt_sfx,0,0
899,ADR_DSL_Mid_2h_sword_slash_sfx,ADR_DSL_Mid_2h_sword_slash_sfx,0,0
900,ADR_DSL_Mid_2h_sword_thrust_sfx,ADR_DSL_Mid_2h_sword_thrust_sfx,0,0
901,ADR_DSL_Mid_bow_cross_sfx,ADR_DSL_Mid_bow_cross_sfx,0,0
902,ADR_DSL_Mid_bow_long_sfx,ADR_DSL_Mid_bow_long_sfx,0,0
903,ADR_DSL_Mid_bow_short_sfx,ADR_DSL_Mid_bow_short_sfx,0,0
904,ADR_DSL_Mid_Flex_blunt_sfx,ADR_DSL_Mid_Flex_blunt_sfx,0,0
905,ADR_DSL_Mid_Flex_slash_sfx,ADR_DSL_Mid_Flex_slash_sfx,0,0
906,ADR_DSL_Alb_1h_sword_slash_offhand_sfx,ADR_DSL_Alb_1h_sword_slash_offhand_sfx,0,0
907,ADR_DSL_Alb_1h_sword_slash_mainhand_sfx,ADR_DSL_Alb_1h_sword_slash_mainhand_sfx,0,0
908,ADR_DSL_Alb_1h_hammer_blunt_offhand_sfx,ADR_DSL_Alb_1h_hammer_blunt_offhand_sfx,0,0
909,ADR_DSL_Alb_1h_hammer_blunt_mainhand_sfx,ADR_DSL_Alb_1h_hammer_blunt_mainhand_sfx,0,0
910,ADR_DSL_Alb_1h_axe_offhand_sfx,ADR_DSL_Alb_1h_axe_offhand_sfx,0,0
911,ADR_DSL_Alb_1h_axe_mainhand_sfx,ADR_DSL_Alb_1h_axe_mainhand_sfx,0,0
912,ADR_DSL_Alb_Shield_Small_sfx,ADR_DSL_Alb_Shield_Small_sfx,0,0
913,ADR_DSL_Alb_Shield_Medium_sfx,ADR_DSL_Alb_Shield_Medium_sfx,0,0
914,ADR_DSL_Alb_Shield_Large_sfx,ADR_DSL_Alb_Shield_Large_sfx,0,0
915,ADR_DSL_Alb_scythe_sfx,ADR_DSL_Alb_scythe_sfx,0,0
916,ADR_DSL_Alb_quiver_sfx,ADR_DSL_Alb_quiver_sfx,0,0
917,ADR_DSL_Alb_quarterstaff_sfx,ADR_DSL_Alb_quarterstaff_sfx,0,0
918,ADR_DSL_Alb_pole-arm_spear_thrust_sfx,ADR_DSL_Alb_pole-arm_spear_thrust_sfx,0,0
919,ADR_DSL_Alb_pole-arm_spear_slash_sfx,ADR_DSL_Alb_pole-arm_spear_slash_sfx,0,0
920,ADR_DSL_Alb_pole-arm_blunt_sfx,ADR_DSL_Alb_pole-arm_blunt_sfx,0,0
921,ADR_DSL_Alb_magicstaff_sfx,ADR_DSL_Alb_magicstaff_sfx,0,0
922,ADR_DSL_Alb_harp_sfx,ADR_DSL_Alb_harp_sfx,0,0
923,ADR_DSL_Alb_H2h_thrust_offhand_sfx,ADR_DSL_Alb_H2h_thrust_offhand_sfx,0,0
924,ADR_DSL_Alb_H2h_thrust_mainhand_sfx,ADR_DSL_Alb_H2h_thrust_mainhand_sfx,0,0
925,ADR_DSL_Alb_H2h_slash_offhand_sfx,ADR_DSL_Alb_H2h_slash_offhand_sfx,0,0
926,ADR_DSL_Alb_H2h_slash_mainhand_sfx,ADR_DSL_Alb_H2h_slash_mainhand_sfx,0,0
927,ADR_DSL_Alb_H2h_blunt_offhand_sfx,ADR_DSL_Alb_H2h_blunt_offhand_sfx,0,0
928,ADR_DSL_Alb_H2h_blunt_mainhand_sfx,ADR_DSL_Alb_H2h_blunt_mainhand_sfx,0,0
929,ADR_DSL_Alb_Flex_thrust_sfx,ADR_DSL_Alb_Flex_thrust_sfx,0,0
930,ADR_DSL_Alb_Flex_slash_sfx,ADR_DSL_Alb_Flex_slash_sfx,0,0
931,ADR_DSL_Alb_Flex_blunt_sfx,ADR_DSL_Alb_Flex_blunt_sfx,0,0
932,ADR_DSL_Alb_bow_short_sfx,ADR_DSL_Alb_bow_short_sfx,0,0
933,ADR_DSL_Alb_bow_long_sfx,ADR_DSL_Alb_bow_long_sfx,0,0
934,ADR_DSL_Alb_bow_cross_sfx,ADR_DSL_Alb_bow_cross_sfx,0,0
935,ADR_DSL_Alb_2h_sword_thrust_sfx,ADR_DSL_Alb_2h_sword_thrust_sfx,0,0
936,ADR_DSL_Alb_2h_sword_slash_sfx,ADR_DSL_Alb_2h_sword_slash_sfx,0,0
937,ADR_DSL_Alb_2h_hammer_blunt_sfx,ADR_DSL_Alb_2h_hammer_blunt_sfx,0,0
938,ADR_DSL_Alb_2h_axe_sfx,ADR_DSL_Alb_2h_axe_sfx,0,0
939,ADR_DSL_Alb_1h_sword_thrust_offhand_sfx,ADR_DSL_Alb_1h_sword_thrust_offhand_sfx,0,0
940,ADR_DSL_Alb_1h_sword_thrust_mainhand_sfx,ADR_DSL_Alb_1h_sword_thrust_mainhand_sfx,0,0
941,Relic_Lightbeam_Red,Relic_Lightbeam_Red,0,0
942,Relic_holder_beam_red,relic_holder_beam_red,0,0
943,Relic_holder_beam_blue,relic_holder_beam_blue,0,0
944,Relic_holder_beam_green,relic_holder_beam_green,0,0
945,VFX_epic_DF_wpn_Armsman_thrust_2H01,VFX_epic_wpn_DF_Armsman_thrust_2H,0,0
946,VFX_epic_DF_wpn_Armsman_Crush_1H01,VFX_epic_wpn_DF_Armsman_Crush_1H,0,0
947,VFX_epic_DF_wpn_Armsman_Crush_2H01,VFX_epic_wpn_DF_Armsman_Crush_2H,0,0
948,VFX_epic_DF_wpn_Armsman_pole_C01,VFX_epic_wpn_DF_Armsman_pole_C,0,0
949,VFX_epic_DF_wpn_Armsman_pole_S01,VFX_epic_wpn_DF_Armsman_pole_S,0,0
950,VFX_epic_DF_wpn_Armsman_sword_1H01,VFX_epic_wpn_DF_Armsman_slash_1H,0,0
951,VFX_epic_DF_wpn_Armsman_sword_2H01,VFX_epic_wpn_DF_Armsman_slash_2H,0,0
952,VFX_epic_DF_wpn_Armsman_thrust_1H01,VFX_epic_wpn_DF_Armsman_thrust_1H,0,0
953,VFX_Epic_wpn_DF_Paladin_thrust_2H,VFX_Epic_wpn_DF_Paladin_thrust_2H,0,0
954,VFX_Epic_wpn_DF_Paladin_thrust_1H,VFX_Epic_wpn_DF_Paladin_thrust_1H,0,0
955,VFX_Epic_wpn_DF_Paladin_slash_2H,VFX_Epic_wpn_DF_Paladin_slash_2H,0,0
956,VFX_Epic_wpn_DF_Paladin_slash_1H,VFX_Epic_wpn_DF_Paladin_slash_1H,0,0
957,VFX_Epic_wpn_DF_Paladin_crush_2H,VFX_Epic_wpn_DF_Paladin_crush_2H,0,0
958,VFX_Epic_wpn_DF_Paladin_crush_1H,VFX_Epic_wpn_DF_Paladin_crush_1H,0,0
959,VFX_Epic_wpn_DF_Eldritch_Epic_Staff,VFX_Epic_wpn_DF_Eldritch_Staff,0,0
960,VFX_Epic_wpn_DF_Enchanter_Epic_Staff,VFX_Epic_wpn_DF_Enchanter_ST,0,0
961,VFX_Epic_wpn_DF_Mentalist_Epic_Staff,VFX_Epic_wpn_DF_Mentalist_ST,0,0
962,VFX_Epic_wpn_DF_Animist_Epic_Staff,VFX_Epic_wpn_DF_Animist_Staff,0,0
963,VFX_Epic_wpn_DF_Bainshee_Epic_Staff,VFX_Epic_wpn_DF_Bainshee_Staff,0,0
964,VFX_Epic_wpn_DF_Valewalker_Epic_Scythe,VFX_Epic_wpn_DF_Valewalker_SY,0,0
965,VFX_Epic_wpn_DF_Vampiir_Epic_Pierce,VFX_Epic_wpn_DF_Vampiir_T,0,0
966,VFX_Epic_wpn_DF_Nightshade_Epic_Blade,VFX_Epic_wpn_DF_Nightshade_S,0,0
967,VFX_Epic_wpn_DF_Nightshade_Epic_Pierce,VFX_Epic_wpn_DF_Nightshade_T,0,0
968,VFX_Epic_wpn_DF_Bard_Epic_Blade,VFX_Epic_wpn_DF_Bard_Blade_1h,0,0
969,VFX_Epic_wpn_DF_Bard_Epic_Blunt,VFX_Epic_wpn_DF_Bard_Crush_1h,0,0
970,VFX_Epic_wpn_DF_Bard_Epic_Drum,not_implimented,0,0
971,VFX_Epic_wpn_DF_Bard_Epic_Flute,not_implimented,0,0
972,VFX_Epic_wpn_DF_Bard_Epic_Harp,VFX_Epic_wpn_DF_Bard_Harp,0,0
973,VFX_Epic_wpn_DF_Bard_Epic_Lute,not_implimented,0,0
974,VFX_Epic_wpn_DF_Ranger_Epic_Pierce,VFX_Epic_wpn_DF_Ranger_Pierce_1h,0,0
975,VFX_Epic_wpn_DF_Ranger_Epic_Blade,VFX_Epic_wpn_DF_Ranger_Slash_1h,0,0
976,VFX_Epic_wpn_DF_Hib_Recurve_Bow,VFX_Epic_wpn_DF_Ranger_Bow,0,0
977,VFX_Epic_wpn_DF_Blademaster_Epic_Blade,VFX_Epic_wpn_DF_Blademaster_Slash_1h,0,0
978,VFX_Epic_wpn_DF_Blademaster_Epic_Pierce,VFX_Epic_wpn_DF_Blademaster_Pierce_1h,0,0
979,VFX_Epic_wpn_DF_Blademaster_Epic_Blunt,VFX_Epic_wpn_DF_Blademaster_Crush_1h,0,0
980,VFX_Epic_wpn_DF_Druid_Epic_Blade,VFX_Epic_wpn_DF_Druid_Blade_1h,0,0
981,VFX_Epic_wpn_DF_Druid_Epic_Blunt,VFX_Epic_wpn_DF_Druid_crush_1h,0,0
982,VFX_Epic_wpn_DF_Warden_Epic_Blade,VFX_Epic_wpn_DF_Warden_slash_1h,0,0
983,VFX_Epic_wpn_DF_Warden_Epic_Blunt,VFX_Epic_wpn_DF_Warden_crush_1h,0,0
984,VFX_Epic_wpn_DF_Champion_Epic_Blade,vfx_epic_wpn_DF_Champion_Slash_1H,0,0
985,VFX_Epic_wpn_DF_Champion_Epic_Pierce,VFX_Epic_wpn_DF_Champion_Pierce_1H,0,0
986,VFX_Epic_wpn_DF_Champion_Epic_Blunt,VFX_Epic_wpn_DF_Champion_crush_1h,0,0
987,VFX_Epic_wpn_DF_Champion_Epic_Large_Blade,vfx_epic_wpn_DF_Champion_Slash_2H,0,0
988,VFX_Epic_wpn_DF_Champion_Epic_Large_Blunt,VFX_Epic_wpn_DF_Champion_Crush_2h,0,0
989,VFX_Epic_wpn_DF_Hero_Epic_Blade,VFX_Epic_wpn_DF_Hero_Blade_1h,0,0
990,VFX_Epic_wpn_DF_Hero_Epic_Pierce,VFX_Epic_wpn_DF_Hero_Piercing_1h,0,0
991,VFX_Epic_wpn_DF_Hero_Epic_Blunt,vfx_epic_wpn_DF_Hero_Blunt_1H,0,0
992,VFX_Epic_wpn_DF_Hero_Epic_Large_Blade,VFX_Epic_wpn_DF_Hero_Blade_2h,0,0
993,VFX_Epic_wpn_DF_Hero_Epic_Large_Blunt,vfx_epic_wpn_DF_Hero_Blunt_2H,0,0
994,VFX_Epic_wpn_DF_Hero_Epic_Large_Pierce,VFX_Epic_wpn_DF_Hero_Piercing_2h,0,0
995,VFX_Epic_wpn_DF_Hero_Epic_Celtic_Spear,VFX_Epic_wpn_DF_Hero_Spear_1h,0,0
996,VFX_Epic_wpn_DF_Hero_Epic_Celtic_2H_Spear,VFX_Epic_wpn_DF_Hero_Spear_2h,0,0
997,VFX_Epic_wpn_DF_Cabalist_St,VFX_Epic_wpn_DF_Cabalist_St,0,0
998,VFX_epic_wpn_DF_Sorcerer_St,VFX_epic_wpn_DF_Sorcerer_St,0,0
999,VFX_epic_wpn_DF_Theurgist_St,VFX_epic_wpn_DF_Theurgist_St,0,0
1000,VFX_epic_wpn_DF_Wizard_St,VFX_epic_wpn_DF_Wizard_St,0,0
1001,VFX_epic_wpn_DF_Necromancer_staff,VFX_epic_wpn_DF_Necromancer_staff,0,0
1002,VFX_epic_wpn_DF_Infiltrator_S,VFX_epic_wpn_DF_Infiltrator_S,0,0
1003,VFX_epic_wpn_DF_Infiltrator_T,VFX_epic_wpn_DF_Infiltrator_T,0,0
1004,VFX_epic_wpn_DF_Friar_St,VFX_epic_wpn_DF_Friar_St,0,0
1005,VFX_epic_wpn_DF_Friar_Crush_1H,VFX_epic_wpn_DF_Friar_Crush_1H,0,0
1006,VFX_epic_wpn_DF_Scout_S,VFX_epic_wpn_DF_Scout_S,0,0
1007,VFX_epic_wpn_DF_Scout_T,VFX_epic_wpn_DF_Scout_T,0,0
1008,VFX_epic_wpn_DF_Scout_Bo,VFX_epic_wpn_DF_Scout_Bo,0,0
1009,VFX_epic_wpn_DF_minstrel_S,VFX_epic_wpn_DF_minstrel_S,0,0
1010,VFX_epic_wpn_DF_minstrel_T,VFX_epic_wpn_DF_minstrel_T,0,0
1011,VFX_Epic_wpn_DF_Minstrel_Epic_Drum,VFX_Epic_wpn_DF_Minstrel_Epic_Drum,0,0
1012,VFX_Epic_wpn_DF_Minstrel_Epic_Flute,VFX_Epic_wpn_DF_Minstrel_Epic_Flute,0,0
1013,VFX_epic_wpn_DF_minstrel_H,VFX_epic_wpn_DF_minstrel_H,0,0
1014,VFX_Epic_wpn_DF_Minstrel_Epic_Lute,VFX_Epic_wpn_DF_Minstrel_Epic_Lute,0,0
1015,VFX_epic_wpn_DF_cleric_C,VFX_epic_wpn_DF_cleric_C,0,0
1016,VFX_epic_wpn_DF_Mercenary_C,VFX_epic_wpn_DF_Mercenary_C,0,0
1017,VFX_epic_wpn_DF_Mercenary_S,VFX_epic_wpn_DF_Mercenary_S,0,0
1018,VFX_epic_wpn_DF_Mercenary_T,VFX_epic_wpn_DF_Mercenary_T,0,0
1019,VFX_epic_wpn_DF_Heretic_crush_1H,VFX_epic_wpn_DF_Heretic_crush_1H,0,0
1020,VFX_epic_wpn_DF_Heretic_flexC_1H,VFX_epic_wpn_DF_Heretic_flexC_1H,0,0
1021,VFX_epic_wpn_DF_Heretic_flexS_1H,VFX_epic_wpn_DF_Heretic_flexS_1H,0,0
1022,VFX_epic_wpn_DF_Reaver_crush_1H,VFX_epic_wpn_DF_Reaver_crush_1H,0,0
1023,VFX_epic_wpn_DF_Reaver_Sword_1H,VFX_epic_wpn_DF_Reaver_Sword_1H,0,0
1024,VFX_epic_wpn_DF_Reaver_thrust_1H,VFX_epic_wpn_DF_Reaver_thrust_1H,0,0
1025,VFX_epic_wpn_DF_Reaver_flexCS_1H,VFX_epic_wpn_DF_Reaver_flexCS_1H,0,0
1026,VFX_epic_wpn_DF_Reaver_flexCS_1H,VFX_epic_wpn_DF_Reaver_flexCS_1H,0,0
1027,VFX_Epic_wpn_DF_Runemaster_Epic_Staff,vfx_epic_wpn_DF_Runemaster_ST,0,0
1028,VFX_Epic_wpn_DF_Spirit_Master_Epic_Staff,vfx_epic_wpn_DF_spiritmaster_st,0,0
1029,VFX_Epic_wpn_DF_Bonedancer_Epic_Staff,vfx_epic_wpn_DF_bonedancer_ST,0,0
1030,VFX_Epic_wpn_DF_Warlock_Epic_Staff,vfx_epic_wpn_DF_warlock_ST,0,0
1031,VFX_Epic_wpn_DF_Shadowblade_Epic_Sword,vfx_epic_wpn_DF_shadowblade_sword_1h,0,0
1032,VFX_Epic_wpn_DF_Shadowblade_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_shadowblade_sword_2h,0,0
1033,VFX_Epic_wpn_DF_Shadowblade_Epic_Axe,vfx_epic_wpn_DF_shadowblade_axe_1h,0,0
1034,VFX_Epic_wpn_DF_Shadowblade_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_shadowblade_axe_2h,0,0
1035,VFX_Epic_wpn_DF_Hunter_Epic_Sword,vfx_epic_wpn_DF_hunter_sword_1h,0,0
1036,VFX_Epic_wpn_DF_Hunter_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_hunter_sword_2h,0,0
1037,VFX_Epic_wpn_DF_Hunter_Epic_Spear_Thrust,vfx_epic_wpn_DF_hunter_spear,0,0
1038,vfx_epic_wpn_DF_hunter_bow,vfx_epic_wpn_DF_hunter_bow,0,0
1039,VFX_Epic_wpn_DF_Berzerker_Epic_Axe,vfx_epic_wpn_DF_beserker_axe_1h,0,0
1040,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_beserker_axe_2h,0,0
1041,VFX_Epic_wpn_DF_Berzerker_Epic_Hammer,vfx_epic_wpn_DF_beserker_hammer_1h,0,0
1042,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_beserker_hammer_2h,0,0
1043,VFX_Epic_wpn_DF_Berzerker_Epic_Sword,vfx_epic_wpn_DF_beserker_sword_1h,0,0
1044,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_beserker_sword_2h,0,0
1045,VFX_Epic_wpn_DF_Savage_Epic_Axe,vfx_epic_wpn_DF_savage_axe_1h,0,0
1046,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_savage_axe_2h,0,0
1047,VFX_Epic_wpn_DF_Savage_Epic_Hammer,vfx_epic_wpn_DF_savage_hammer_1h,0,0
1048,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_savage_hammer_2h,0,0
1049,VFX_Epic_wpn_DF_Savage_Epic_Sword,vfx_epic_wpn_DF_savage_sword_1h,0,0
1050,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_savage_sword_2h,0,0
1051,VFX_Epic_wpn_DF_Savage_Epic_Hand_to_Hand_Slash,vfx_epic_wpn_DF_savage_hth,0,0
1052,VFX_Epic_wpn_DF_Savage_Epic_Hand_to_Hand_Crush,vfx_epic_wpn_DF_savage_hth,0,0
1053,VFX_Epic_wpn_DF_Healer_Epic_Hammer,vfx_epic_wpn_DF_healer_hammer_1h,0,0
1054,VFX_Epic_wpn_DF_Healer_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_healer_hammer_2h,0,0
1055,VFX_Epic_wpn_DF_Shaman_Epic_Hammer,vfx_epic_wpn_DF_shaman_hammer_1h,0,0
1056,VFX_Epic_wpn_DF_Shaman_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_shaman_hammer_2h,0,0
1057,VFX_Epic_wpn_DF_Skald_Epic_Axe,vfx_epic_wpn_DF_skald_axe_1h,0,0
1058,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_skald_axe_2h,0,0
1059,VFX_Epic_wpn_DF_Skald_Epic_Hammer,vfx_epic_wpn_DF_skald_hammer_1h,0,0
1060,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_skald_hammer_2h,0,0
1061,VFX_Epic_wpn_DF_Skald_Epic_Sword,vfx_epic_wpn_DF_skald_sword_1h,0,0
1062,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_skald_sword_2h,0,0
1063,VFX_Epic_wpn_DF_Thane_Epic_Axe,vfx_epic_wpn_DF_thane_axe_1h,0,0
1064,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_thane_axe_2h,0,0
1065,VFX_Epic_wpn_DF_Thane_Epic_Hammer,vfx_epic_wpn_DF_thane_hammer_1h,0,0
1066,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_thane_hammer_2h,0,0
1067,VFX_Epic_wpn_DF_Thane_Epic_Sword,vfx_epic_wpn_DF_thane_sword_1h,0,0
1068,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_thane_sword_2h,0,0
1069,VFX_Epic_wpn_DF_Warrior_Epic_Axe,vfx_epic_wpn_DF_Warrior_Axe_1H,0,0
1070,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Axe,vfx_epic_wpn_DF_Warrior_Axe_2H,0,0
1071,VFX_Epic_wpn_DF_Warrior_Epic_Hammer,vfx_epic_wpn_DF_Warrior_Hammer_1H,0,0
1072,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Hammer,vfx_epic_wpn_DF_Warrior_Hammer_2H,0,0
1073,VFX_Epic_wpn_DF_Warrior_Epic_Sword,vfx_epic_wpn_DF_Warrior_Sword_1H,0,0
1074,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_Warrior_Sword_2H,0,0
1075,VFX_Epic_wpn_DF_Valkyrie_Epic_Sword,vfx_epic_wpn_DF_valkyrie_sword_1h,0,0
1076,VFX_Epic_wpn_DF_Valkyrie_Epic_Two_Handed_Sword,vfx_epic_wpn_DF_valkyrie_sword_2h,0,0
1077,VFX_Epic_wpn_DF_Valkyrie_Epic_Spear_Thrust,vfx_epic_wpn_DF_valkyrie_spear,0,0
1078,VFX_Epic_wpn_DF_Valkyrie_Epic_Spear_Slash,vfx_epic_wpn_DF_valkyrie_spear,0,0
1079,VFX_Championweapon_DF_MidMauler_Staff01,VFX_Championweapon_DF_MidMauler_Staff01,0,0
1080,VFX_Championweapon_DF_AlbMauler_Punch01,VFX_Championweapon_DF_AlbMauler_Punch01,0,0
1081,VFX_Championweapon_DF_AlbMauler_Staff01,VFX_Championweapon_DF_AlbMauler_Staff01,0,0
1082,VFX_Championweapon_DF_HibMauler_Punch01,VFX_Championweapon_DF_HibMauler_Punch01,0,0
1083,VFX_Championweapon_DF_HibMauler_Staff01,VFX_Championweapon_DF_HibMauler_Staff01,0,0
1084,VFX_Championweapon_DF_MidMauler_Punch01,VFX_Championweapon_DF_MidMauler_Punch01,0,0
1085,B_2h_Coffinhammer01_VFX_Energy,B_2h_Coffinhammer01_VFX_Energy,0,0
1086,B_2h_InquisitorsPick01_VFX_Energy,B_2h_InquisitorsPick01_VFX_Energy,0,0
1087,B_2h_RoyalScimitar01_VFX_Energy,B_2h_RoyalScimitar01_VFX_Energy,0,0
1088,B_bo_SaracenShortbow01_VFX_Energy,B_bo_SaracenShortbow01_VFX_Energy,0,0
1089,B_bo_ThornBow01_VFX_Energy,B_bo_ThornBow01_VFX_Energy,0,0
1090,B_Cr_BishopsMace01_VFX_Energy,B_Cr_BishopsMace01_VFX_Energy,0,0
1091,B_Cr_CoffinMace01_VFX_Energy,B_Cr_CoffinMace01_VFX_Energy,0,0
1092,B_flx_PickFlail01_VFX_Energy,B_flx_PickFlail01_VFX_Energy,0,0
1093,B_flx_SpikedFlail01_VFX_Energy,B_flx_SpikedFlail01_VFX_Energy,0,0
1094,B_Po_MilitaryFork01_VFX_Energy,B_Po_MilitaryFork01_VFX_Energy,0,0
1095,B_Po_SaracenGlaive01_VFX_Energy,B_Po_SaracenGlaive01_VFX_Energy,0,0
1096,B_Po_TallHammer01_VFX_Energy,B_Po_TallHammer01_VFX_Energy,0,0
1097,B_sl_Cinquedea01_VFX_Energy,B_sl_Cinquedea01_VFX_Energy,0,0
1098,B_sl_Falchion01_VFX_Energy,B_sl_Falchion01_VFX_Energy,0,0
1099,b_st_magestaff01_VFX_Energy,b_st_magestaff01_VFX_Energy,0,0
1100,B_st_SpikedStaffMace01_VFX_Energy,B_st_SpikedStaffMace01_VFX_Energy,0,0
1101,B_th_DuelistsDagger01_VFX_Energy,B_th_DuelistsDagger01_VFX_Energy,0,0
1102,B_th_DuelistsRapier01_VFX_Energy,B_th_DuelistsRapier01_VFX_Energy,0,0
1103,B_xbo_SkinnersCrossbow01_VFX_Energy,B_xbo_SkinnersCrossbow01_VFX_Energy,0,0
1104,H_1h_FirbolgLongSword01_VFX_Energy,H_1h_FirbolgLongSword01_VFX_Energy,0,0
1105,H_1h_FirbolgShortSword01_VFX_Energy,H_1h_FirbolgShortSword01_VFX_Energy,0,0
1106,H_2h_FirbolgHammer01_VFX_Energy,H_2h_FirbolgHammer01_VFX_Energy,0,0
1107,H_2h_FirbolgTrollSplitter01_VFX_Energy,H_2h_FirbolgTrollSplitter01_VFX_Energy,0,0
1108,H_bl_CelticHammer01_VFX_Energy,H_bl_CelticHammer01_VFX_Energy,0,0
1109,H_bl_FirbolgHammer01_VFX_Energy,H_bl_FirbolgHammer01_VFX_Energy,0,0
1110,H_bo_ElvenLongbow01_VFX_Energy,H_bo_ElvenLongbow01_VFX_Energy,0,0
1111,H_bo_ElvenShortBow01_VFX_Energy,H_bo_ElvenShortBow01_VFX_Energy,0,0
1112,H_sc_FirbolgScythe01_VFX_Energy,H_sc_FirbolgScythe01_VFX_Energy,0,0
1113,H_Sp_FirbolgSpear01_VFX_Energy,H_Sp_FirbolgSpear01_VFX_Energy,0,0
1114,h_st_staff07_VFX_Energy,h_st_staff07_VFX_Energy,0,0
1115,h_st_staff09_VFX_Energy,h_st_staff09_VFX_Energy,0,0
1116,H_th_FirbolgAdze01_VFX_Energy,H_th_FirbolgAdze01_VFX_Energy,0,0
1117,H_th_WarAdze01_VFX_Energy,H_th_WarAdze01_VFX_Energy,0,0
1118,N_1h_DwarvenWarAxe01_VFX_Energy,N_1h_DwarvenWarAxe01_VFX_Energy,0,0
1119,N_1h_TrollBroadSword01_VFX_Energy,N_1h_TrollBroadSword01_VFX_Energy,0,0
1120,N_1h_TrollWarAxe01_VFX_Energy,N_1h_TrollWarAxe01_VFX_Energy,0,0
1121,N_1h_TrollWarHammer01_VFX_Energy,N_1h_TrollWarHammer01_VFX_Energy,0,0
1122,N_2h_DwarvenSpear01_VFX_Energy,N_2h_DwarvenSpear01_VFX_Energy,0,0
1123,N_2h_KoboldGreatAxe01_VFX_Energy,N_2h_KoboldGreatAxe01_VFX_Energy,0,0
1124,N_2h_KoboldGreatClub01_VFX_Energy,N_2h_KoboldGreatClub01_VFX_Energy,0,0
1125,N_2h_KoboldGreatSword01_VFX_Energy,N_2h_KoboldGreatSword01_VFX_Energy,0,0
1126,N_bo_VikingBeardedBow01_VFX_Energy,N_bo_VikingBeardedBow01_VFX_Energy,0,0
1127,N_hth_GreatBladedClawGreave01_VFX_Energy,N_hth_GreatBladedClawGreave01_VFX_Energy,0,0
1128,N_hth_GreatBladedFangGreave01_VFX_Energy,N_hth_GreatBladedFangGreave01_VFX_Energy,0,0
1129,B_2h_Coffinhammer01_VFX_Body,B_2h_Coffinhammer01_VFX_Body,0,0
1130,B_2h_InquisitorsPick01_VFX_Body,B_2h_InquisitorsPick01_VFX_Body,0,0
1131,B_2h_RoyalScimitar01_VFX_Body,B_2h_RoyalScimitar01_VFX_Body,0,0
1132,B_bo_SaracenShortbow01_VFX_Body,B_bo_SaracenShortbow01_VFX_Body,0,0
1133,B_bo_ThornBow01_VFX_Body,B_bo_ThornBow01_VFX_Body,0,0
1134,B_Cr_BishopsMace01_VFX_Body,B_Cr_BishopsMace01_VFX_Body,0,0
1135,B_Cr_CoffinMace01_VFX_Body,B_Cr_CoffinMace01_VFX_Body,0,0
1136,B_flx_PickFlail01_VFX_Body,B_flx_PickFlail01_VFX_Body,0,0
1137,B_flx_SpikedFlail01_VFX_Body,B_flx_SpikedFlail01_VFX_Body,0,0
1138,B_Po_MilitaryFork01_VFX_Body,B_Po_MilitaryFork01_VFX_Body,0,0
